name,info,data,dialog,link
Федеральная служба по надзору в сфере образования и науки,A,A,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=71
Федеральная служба по надзору в сфере природопользования,B,A,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=73
"Федеральная служба по надзору в сфере связи, информационных технологий и массовых коммуникаций",A,A,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=69
Федеральная служба по надзору в сфере транспорта,A,B,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=78
Федеральная служба по регулированию алкогольного рынка,A,A,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=65
Федеральная служба по техническому и экспортному контролю,A,A,C,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=84
Федеральная служба по труду и занятости,A,A,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=78
Федеральная служба по финансовому мониторингу,B,B,C,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=79
"Федеральная служба по экологическому, технологическому и атомному надзору",A,A,A,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=77
Федеральная служба судебных приставов,A,A,A,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=83
Федеральная таможенная служба,A,A,A,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=84
Федеральное агентство водных ресурсов,A,A,C,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=66
Федеральное агентство воздушного транспорта,A,A,A,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=63
Федеральное агентство железнодорожного транспорта,A,A,C,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=67
Федеральное агентство лесного хозяйства,B,B,C,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=69
Федеральное агентство морского и речного транспорта,B,A,C,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=70
Федеральное агентство по государственным резервам,A,B,A,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=74
Федеральное агентство по делам молодежи,A,B,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=70
Федеральное агентство по делам национальностей,B,B,A,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=80
"Федеральное агентство по делам Содружества Независимых Государств, соотечественников, проживающих за рубежом и по международному гуманитарному сотрудничеству",B,C,A,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=76
Федеральное агентство по недропользованию,A,A,C,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=71
Федеральное агентство по печати и массовым коммуникациям,A,B,C,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=72
Федеральное агентство по рыболовству,A,B,A,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=74
Федеральное агентство по техническому регулированию и метрологии,A,A,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=76
Федеральное агентство по туризму,A,A,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=79
Федеральное агентство по управлению государственным имуществом,A,A,C,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=68
Федеральное агентство связи,A,A,C,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=74
Федеральное архивное агентство,A,B,C,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=65
Федеральное дорожное агентство,A,A,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=64
Федеральное казначейство,A,A,B,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=63
Федеральное медико-биологическое агентство,A,A,A,https://www.infoculture.ru/wp-content/uploads/2019/06/Otkrytost-doklad.pdf#page=81
Служба внешней разведки Российской Федерации (СВР России),C,C,C,""
Федеральная служба безопасности Российской Федерации (ФСБ России),B,C,C,""
Федеральная служба охраны Российской Федерации (ФСО России),B,C,C,""
